qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en,asi_id
Q101256627,Karnataka,13.863598,75.205368,Humcha Jain temples,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Outside%20view%20of%20Basadi%20in%20Humcha.jpg?width=640,,,,,,,Monument of National Importance,,Humcha Basadis,https://upload.wikimedia.org/wikipedia/commons/4/41/Outside_view_of_Basadi_in_Humcha.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Outside_view_of_Basadi_in_Humcha.jpg,,,https://en.wikipedia.org/wiki/Humcha_Jain_temples,N-KA-B172
Q105605675,Tamil Nadu,8.275278,77.170639,"Parthasarathy temple, Parthivapuram",,,,,,"পার্থসারথি মন্দির, পার্থিবপুরম",,,,http://commons.wikimedia.org/wiki/Special:FilePath/Parthasarathy%20Temple%2C%20Parthivapuram.%20Kanyakumari%2C%20Tamil%20Nadu%20-%205.jpg?width=640,,,,,,,Monument of National Importance,,"Parthasarathi Temple, Parthivapuram",https://upload.wikimedia.org/wikipedia/commons/6/63/Parthasarathi_and_Krishna_Temples%2C_Parthivapuram._Kanyakumari.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Parthasarathi_and_Krishna_Temples%2C_Parthivapuram._Kanyakumari.jpg,,,"https://en.wikipedia.org/wiki/Parthasarathy_temple,_Parthivapuram",N-TN-T16
Q1061529,Karnataka,12.272475,76.670703,Chamundeshwari Temple,chamudi temple,சாமுண்டி கோயில்,"చాముండేశ్వరి దేవాలయం, మైసూరు",ಚಾಮುಂಡೇಶ್ವರಿ ದೇವಾಸ್ಥಾನ,ചാമുണ്ഡേശ്വരി ക്ഷേത്രം,চামুণ্ডেশ্বরী মন্দির,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chamundeshwari%20Temple.jpg?width=640,,,,,,,State Protected Monument,,Chamundeshwari Temple,https://upload.wikimedia.org/wikipedia/commons/d/d1/Chamundeshwari_Temple_Mysore.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Chamundeshwari_Temple_Mysore.jpg,Public domain,Rithwik,https://en.wikipedia.org/wiki/Chamundeshwari_Temple,S-KA-566
Q106606477,Andhra Pradesh,15.133722,78.673945,"Sri Lakshmi Narasimha Swamy Temple, Ahobilam",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Prahlada%20Varada%20Temple%2C%20Ahobilam%20under%20renovation%2C%20January%202020.jpg?width=640,,,,,,,State Protected Monument,,"Sri Lakshmi Narasimha Swamy Temple, Ahobilam",,http://commons.wikimedia.org/wiki/Special:FilePath/Prahlada%20Varada%20Temple%2C%20Ahobilam%20under%20renovation%2C%20January%202020.jpg?width=640,,,,S-AP-252
Q107546783,Andhra Pradesh,16.962028,82.051944,Veerabhadra temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Virabhadra%20temple%2C%20Biccavolu%20Andhra%20Pradesh%20-%2009.jpg?width=640,,,,,,,Monument of National Importance,,"Virabhadra Gudi, Biccavolu",,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Virabhadra%20temple%2C%20Biccavolu%20Andhra%20Pradesh%20-%2009.jpg?width=640,CC0,G.N. Subrahmanyam,,N-AP-40
Q108063681,West Bengal,26.280451,89.468363,Siddhanath Shiva temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Siddhanath%20Siva%20temple%20at%20Dhauluabari%20under%20Cooch%20Behar%20district%20in%20West%20Bengal%2001.jpg?width=640,,,,,,,State Protected Monument,,"Siddhanath Shiva temple, Ghughumari",,http://commons.wikimedia.org/wiki/Special:FilePath/Siddhanath%20Siva%20temple%20at%20Dhauluabari%20under%20Cooch%20Behar%20district%20in%20West%20Bengal%2001.jpg?width=640,,,,S-WB-48
Q108067296,Dadra and Nagar Haveli and Daman and Diu,20.406770,72.834230,Church of Bom Jesus,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Daman%20Bom%20Jesus%20Church.JPG?width=640,,Catholicism,,,,,Heritage of Portuguese Influence; Monument of National Importance,,Church of Bom Jesus,,http://commons.wikimedia.org/wiki/Special:FilePath/Daman%20Bom%20Jesus%20Church.JPG?width=640,CC BY-SA 3.0,Pradeep717,,N-DD-7
Q1092799,Maharashtra,20.024823,75.169930,Grishneshwar temple,घृष्णेश्वर मन्दिर,"கிரிஸ்னேஸ்வரர் கோயில், ஔரங்கபாத்",ఘృష్ణేశ్వర్ జ్వోతిర్లింగం,ಶ್ರೀ ಗೃಷ್ಣೇಶ್ವರ ಜ್ಯೋತಿರ್ಲಿಂಗ,ഘൃഷ്ണേശ്വർ,ঘৃষ্ণেশ্বর মন্দির,ଘୃଷ୍ଣେଶ୍ୱର ମନ୍ଦିର,घृष्णेश्वर,ઘૃષ્ણેશ્વર,http://commons.wikimedia.org/wiki/Special:FilePath/Grishneshwar%20temple%20in%20Aurangabad%20district.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Grishneshwar Temple,https://upload.wikimedia.org/wikipedia/commons/a/ad/Grishneshwar_temple_in_Aurangabad_district.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Grishneshwar_temple_in_Aurangabad_district.jpg,CC BY-SA 3.0,Rashmi.parab,https://en.wikipedia.org/wiki/Ghrishneshwar_Temple,N-MH-A39
Q110347658,Andhra Pradesh,,,Kanchragudi,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Kancana%20Gudi%2C%20Biccavolu%20Andhra%20Pradesh%20-%2008.jpg?width=640,,,,,,,Monument of National Importance,,"Kancana Gudi, Biccavolu",,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Kancana%20Gudi%2C%20Biccavolu%20Andhra%20Pradesh%20-%2008.jpg?width=640,CC0,G.N. Subrahmanyam,,N-AP-37
Q110347712,Andhra Pradesh,,,Nakkalagudi,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Nakkula%20temple%2C%20Biccavolu%20Andhra%20Pradesh%20-%2012.jpg?width=640,,,,,,,Monument of National Importance,,"Nakkula Gudi, Biccavolu",,http://commons.wikimedia.org/wiki/Special:FilePath/9th%20century%20Nakkula%20temple%2C%20Biccavolu%20Andhra%20Pradesh%20-%2012.jpg?width=640,CC0,G.N. Subrahmanyam,,N-AP-39
