qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q100321322,,20.705380,70.956630,Gangeshwar Mahadev Temple,गंगेश्वर महादेव मंदिर,,గంగేశ్వర మహాదేవ్ ఆలయం,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Gangeshwar_Mahadev_Temple
Q101314175,Telangana,15.877000,78.132000,Alampur Jogulamba Temple,"जोगुलम्बा मंदिर, आलमपुर",,జోగులాంబ దేవాలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jogulamba%20temple%20gopuram%20alampur.JPG?width=640,,,,,,,,,Alampur Jogulamba Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Jogulamba%20temple%20gopuram%20alampur.JPG?width=640,,,"https://en.wikipedia.org/wiki/Jogulamba_Temple,_Alampur"
Q102220012,,26.434083,91.408305,Basudev Devalaya,,வசுதேவர் தேவாலயம்,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Basudev_Devalaya
Q104586803,,31.085300,77.142500,"Sankat Mochan Temple, Shimla",,,సంకట్ మోచన్ ఆలయం (సిమ్లా),ಸಂಕಟ್ ಮೋಚನ್ ದೇವಾಲಯ,,,,,,,,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Sankat_Mochan_Temple,_Shimla"
Q104845865,Uttar Pradesh,27.445317,83.953475,Valmiki Ashram,वाल्मीकि आश्रम,,,,,বাল্মীকি আশ্রম,,,,,,,,,,,State Protected Monument,,"Valmiki Ashram, Bithoor",https://upload.wikimedia.org/wikipedia/commons/e/e1/Balmiki_ashram_2.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Balmiki_ashram_2.jpg,,,https://en.wikipedia.org/wiki/Valmiki_Ashram
Q104848853,,24.492480,86.699970,Baidyanath Dham,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/BaidyanathDham_Achham2.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/BaidyanathDham_Achham2.jpg,,,https://en.wikipedia.org/wiki/Baidyanath_Dham_(Nepal)
Q104852021,,21.318831,81.812331,Mata Kaushalya Temple,MATA KAUSHALYA TEMPLE,,,,,মাতা কৌশল্যা মন্দির,ମାତା କୌଶଲ୍ୟା ମନ୍ଦିର,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mata_Kaushalya_Temple
Q104854135,,20.513060,86.037840,Madhabananda Temple,,மாதாபனந்தா கோயில்,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Madhabananda_Temple
Q104859565,Chhattisgarh,20.608359,82.045487,Bhooteshwarnath,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhooteshwarnath%20Temple%2002.jpg?width=640,Shiva,,,,,,,,Bhooteshwarnath Temple,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bhuteshwarnath.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bhuteshwarnath.jpg,,,https://en.wikipedia.org/wiki/Bhooteshwarnath
Q104861310,,19.416500,72.901500,Tungareshwar Temple,,,,,തുംഗാരേശ്വർ ക്ഷേത്രം,,,तुंगारेश्वर मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Close%20View%20of%20Tungareshwar%20Temple.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Tungareshwar_Temple_at_Vasai%2C_Mumbai.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Tungareshwar_Temple_at_Vasai%2C_Mumbai.jpg,,,https://en.wikipedia.org/wiki/Tungareshwar_Temple
Q104865496,Madhya Pradesh,23.918281,78.222487,Gadarmal Devi temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gadarmal%20Temple%20Badoh.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Gadarmal_Temple_Badoh.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Gadarmal_Temple_Badoh.jpg,,,https://en.wikipedia.org/wiki/Gadarmal_Devi_Temple
Q104866660,Telangana,17.169683,79.582198,"Erakeswara Temple, Pillalamarri","एराकेश्वर मन्दिर, पिल्लालमर्री",,ఎఱకేశ్వర దేవాలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Erakesvara%20temple%2C%20Pillalamarri%2C%20Suryapet%20district%2C%20Telangana%2003.jpg?width=640,,,,,,,,,"Erakeswara Temple, Pillalamarri",https://upload.wikimedia.org/wikipedia/commons/9/90/Pillala-marri-temple-Suryapet-Nalgonda.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Pillala-marri-temple-Suryapet-Nalgonda.jpg,,,"https://en.wikipedia.org/wiki/Erakeswara_Temple,_Pillalamarri"
Q104867029,,16.938222,82.073778,"Kodandarama Temple, Gollala Mamidada",,,కోదండ రామ దేవాలయం,,,,,,,,,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Kodandarama_Temple,_Gollala_Mamidada"
