qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q104476239,Odisha,18.606389,82.799445,Subai Jain temples,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Subai%20Jain%20temple%2C%20Koraput%20district%2C%20Odisha%20%28cropped%29%20-%202.jpg?width=640,,,,,,,,,Subai Jain temples,https://upload.wikimedia.org/wikipedia/commons/8/87/Subai_Jain_temple%2C_Koraput_district%2C_Odisha_%28cropped%29_-_2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Subai_Jain_temple%2C_Koraput_district%2C_Odisha_%28cropped%29_-_2.jpg,CC BY-SA 4.0,Subhashish Panigrahi,https://en.wikipedia.org/wiki/Subai_Jain_temples
Q106462775,Odisha,21.474000,83.959000,Maa Samleswari Temple,समलेश्वरी मन्दिर,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Samlei%20Gudi%20%28Samaleswari%20Temple%29.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Samlei%20Gudi%20%28Samaleswari%20Temple%29.jpg?width=640,CC BY 3.0,AmitabhPatra,https://en.wikipedia.org/wiki/Samleswari_Temple
Q11058991,Odisha,20.216667,85.870833,"Chausath Yogini Temple, Hirapur","चौसठ योगिनी मंदिर, हीरापुर","யோகினி கோயில், ஒடிசா",చౌసతీ జోగిని ఆలయం,ಚೌಸತಿ ಜೋಗಿನಿ ದೇವಾಲಯ,ചൗസതി ജോകിനി ക്ഷേത്രം,চৌষট্টি যোগিনী মন্দির,ଚଉଷଠି ଯୋଗିନୀ ମନ୍ଦିର,चौसष्ठ योगिनी मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Chausathi%20Yogini%20temple%20Hirapur%20%2812%29.jpg?width=640,,,,,,,Monument of National Importance,,"Chausath Yogini Temple, Hirapur",https://upload.wikimedia.org/wikipedia/commons/3/3b/Chausath_Yogini_Temple_-_Outside.JPG,https://upload.wikimedia.org/wikipedia/commons/3/3b/Chausath_Yogini_Temple_-_Outside.JPG,CC BY-SA 3.0,Rohit Agarwal,"https://en.wikipedia.org/wiki/Chausath_Yogini_Temple,_Hirapur"
Q110983829,Odisha,19.230000,82.550000,Maa Bhandara Gharani Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhandara%20Gharani%20Temple%2006.jpg?width=640,,,,,,,,,Maa Bhandara Gharani Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhandara%20Gharani%20Temple%2006.jpg?width=640,CC BY-SA 4.0,Prateek Pattanaik,
Q116527678,Odisha,,,Tota Gopinath Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tota%20Gopinath%20Temple%2C%20Chatak%20Parbat%20in%20Puri%2004.jpg?width=640,,,,,,,,,Tota Gopinath Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Tota%20Gopinath%20Temple%2C%20Chatak%20Parbat%20in%20Puri%2004.jpg?width=640,CC BY-SA 4.0,Pinakpani,
Q12060832,Odisha,20.131731,85.092373,"Jagannath Temple, Nayagarh",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jagannath%20Temple%2C%20Nayagarh.jpg?width=640,,,,,,,State Protected Monument,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Jagannath_Temple%2C_Nayagarh.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Jagannath_Temple%2C_Nayagarh.jpg,CC BY 3.0,Sanshlistha m,"https://en.wikipedia.org/wiki/Jagannath_Temple,_Nayagarh"
Q13229738,Odisha,20.000000,84.000000,Samaleswari Temple,समलेश्वरी मंदिर,,,,,সমলেশ্বরী মন্দির,ସମଲେଶ୍ଵରୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Samlei%20Gudi%20%28Samaleswari%20Temple%29.jpg?width=640,,,,,,,,,Samaleswari Temple,https://upload.wikimedia.org/wikipedia/commons/8/80/Samlei_Gudi_%28Samaleswari_Temple%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Samlei_Gudi_%28Samaleswari_Temple%29.jpg,CC BY 3.0,AmitabhPatra,https://en.wikipedia.org/wiki/Samaleswari_Temple
Q136823662,Odisha,,,,,,,,,,ସାନମା' ଦକ୍ଷିଣ କାଳୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Dakhinakali%2CBiragovindpur.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Dakhinakali%2CBiragovindpur.jpg?width=640,CC BY-SA 4.0,Satya Narayan Baral,
Q137709200,Odisha,21.536300,86.830618,Jagannath Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jagannath%20Temple%2C%20Balgopalpur%2020160608.jpg?width=640,,,,,,,,,"Jagannath Temple, Balgopalpur",,http://commons.wikimedia.org/wiki/Special:FilePath/Jagannath%20Temple%2C%20Balgopalpur%2020160608.jpg?width=640,CC BY-SA 4.0,Mrityunjay Shukla,
Q137774303,Odisha,,,Swapneswar temple,,,,,,,"ସ୍ଵପ୍ନେଶ୍ଵର ମନ୍ଦିର,କେନ୍ଦୁସାହି",,,http://commons.wikimedia.org/wiki/Special:FilePath/Swpneswar%20temple%20090812.jpg?width=640,Shiva,Hinduism,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Swpneswar%20temple%20090812.jpg?width=640,CC0,Baba Swapneswar,
Q139761986,Odisha,20.844000,85.151500,"Jagannath Temple, Angul",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saila%20Srikhetra%2C%20Angul.png?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Saila_Srikhetra%2C_Angul.png,https://upload.wikimedia.org/wikipedia/commons/e/ea/Saila_Srikhetra%2C_Angul.png,CC0,S4yam,"https://en.wikipedia.org/wiki/Jagannath_Temple,_Angul"
Q15008059,Odisha,19.665091,85.216016,Kalijai,कालीजाई,,కాళీజై దేవాలయం,,,কালিজাই,କାଳିଜାଇ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalijai%20temple%20Chilika.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kalijai_temple_Chilika.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kalijai_temple_Chilika.jpg,CC BY-SA 3.0,Aruni Nayak,https://en.wikipedia.org/wiki/Kalijai
Q15261008,Odisha,20.243055,85.835000,Narayani Temple,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Narayani%201.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Narayani_1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Narayani_1.jpg,FAL,Dr. Sadasiba Pradhan,https://en.wikipedia.org/wiki/Narayani_Temple
Q15723600,Odisha,19.803889,85.821944,Angira Ashram,,,,,,,ଅଙ୍ଗିରା ଆଶ୍ରମ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Outside%20of%20angira%20Ashram.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Outside%20of%20angira%20Ashram.jpg?width=640,CC BY-SA 4.0,Pkp05,
Q15723826,Odisha,20.229090,85.827438,Kapilesvara Siva Temple,कपिलेश्वर शिव मंदिर,,"కపిలేశ్వర శివాలయం, భువనేశ్వర్",ಕಪಿಲೇಶ್ವರ ಶಿವ ದೇವಾಲಯ,,কপিলেশ্বর শিবমন্দির,କପିଳେଶ୍ଵର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kapilesvara%20temple%20%2815%29.jpg?width=640,Shiva,,,,,,,,Kapilesvara Siva Temple,https://upload.wikimedia.org/wikipedia/commons/0/08/Kapilesvara_temple_%2818%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Kapilesvara_temple_%2818%29.jpg,CC BY-SA 4.0,Ssriram mt,https://en.wikipedia.org/wiki/Kapilesvara_Siva_Temple
Q15724028,Odisha,20.270000,86.170000,Gorakhnath Temple,गोरखनाथ मंदिर,,,,,গোরক্ষনাথ মন্দির,ଗୋରଖନାଥ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gorakhnath%20temple%201.JPG?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gorakhnath%20temple%201.JPG?width=640,CC BY-SA 3.0,Kamalakanta777,
Q15724127,Odisha,21.462894,86.765514,"Jagannath Temple, Nilagiri",,,,,,,"ଜଗନ୍ନାଥ ମନ୍ଦିର, ନୀଳଗିରି",,,http://commons.wikimedia.org/wiki/Special:FilePath/Nilagiri%20Jagannatha-temple.jpg?width=640,,,,,,,,,"Jagannath Temple, Nilagiri",,http://commons.wikimedia.org/wiki/Special:FilePath/Nilagiri%20Jagannatha-temple.jpg?width=640,CC BY-SA 3.0,Subhasisa Panigahi,
Q15724230,Odisha,19.489675,84.899786,Taratarini Temple,,,,,,,ତାରାତାରିଣୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Taratarini%20maa.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Taratarini%20maa.jpg?width=640,CC BY 3.0,Nayansatya,
Q15724231,Odisha,21.383300,85.883300,"Maa Tarini Temple, Ghatgaon","मां तारिणी मंदिर, घाटगाँव",,"మా తారిణీ ఆలయం, ఘాట్గావ్",,,,ତାରିଣୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tarni%20temple%20Gate%20view.JPG?width=640,,,,,,,,,Maa Tarini Temple,https://upload.wikimedia.org/wikipedia/commons/6/6b/Tarni_temple_Gate_view.JPG,https://upload.wikimedia.org/wikipedia/commons/6/6b/Tarni_temple_Gate_view.JPG,CC BY-SA 3.0,Jnanaranjan sahu,"https://en.wikipedia.org/wiki/Maa_Tarini_Temple,_Ghatgaon"
Q15724793,Odisha,20.480211,85.784333,Bali Bhuasuni Peeth,बालि भुआसुनि पीठ,,,,,বালি ভূশুনি পীঠ,ବାଲି ଭୁଆସୁଣୀ ପୀଠ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhuasuni.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhuasuni.jpg?width=640,CC BY-SA 3.0,Kamalakanta777,
Q15724834,Odisha,20.618100,84.394673,Binikei Temple,बिनिकेई मंदिर,,,,,বিনিকেই মন্দির,ବିନିକେଇ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Main%20gate%20of%20Maa%20Binikeyee%20Peetha%2C%20Athmallik.JPG?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Main%20gate%20of%20Maa%20Binikeyee%20Peetha%2C%20Athmallik.JPG?width=640,CC BY-SA 4.0,Aditya Mahar,
Q15725046,Odisha,20.243322,85.853736,Megheswara Temple,मेघेश्वर मंदिर,,,,,,ମେଘେଶ୍ଵର ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Megheswar%20Temple%20in%20bhubaneswar.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Megheswar%20Temple%20in%20bhubaneswar.jpg?width=640,CC BY-SA 3.0,Kamalakanta777,
Q15725128,Odisha,21.312273,86.817105,"Ram Temple, Junia","राम मंदिर, जूनिया",,,,,"রাম মন্দির, জুনিয়া","ରାମ ମନ୍ଦିର, ଜୁଣିଆ",,,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%20Mandir%20Junia.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%20Mandir%20Junia.jpg?width=640,CC BY-SA 3.0,Ranjan Kumar Panigrahi,
